verbe,cooccurrence
écrire,7280
lire,3371
penser,2540
savoir,2258
aimer,1820
trouver,1777
mettre,1579
prendre,1431
commencer,1338
arriver,1273
donner,1071
parler,1016
publier,965
croire,905
demander,782
